Property ID,BHK,Bathrooms,Area,Furnished Status,Lawn,Lift,Swimming Pool,Gym,Car Parking,Fresh Water Supply,Regular Electricity,Price,Price per sq. ft.
PROP-9000,3,3,2382,Unfurnished,No,Yes,No,Yes,Covered,Yes,Yes,21993006,9233
PROP-9001,3,4,2344,Fully Furnished,No,Yes,No,Yes,Covered,Yes,Yes,24007248,10242
PROP-9002,1,2,673,Semi-Furnished,No,Yes,No,Yes,Open,Yes,Yes,4435743,6591
PROP-9003,4,4,4336,Semi-Furnished,Yes,Yes,No,Yes,Covered,Yes,Yes,39444592,9097
PROP-9004,3,3,1834,Fully Furnished,No,Yes,No,No,Covered,No,Yes,20803062,11343
PROP-9005,3,4,1657,Unfurnished,No,Yes,No,No,Open,Yes,Yes,13536033,8169
PROP-9006,3,3,2166,Fully Furnished,No,Yes,No,No,Covered,Yes,Yes,23576910,10885
PROP-9007,3,3,2216,Fully Furnished,No,Yes,No,No,Covered,Yes,Yes,27290040,12315
PROP-9008,2,2,955,Semi-Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,9587245,10039
PROP-9009,3,3,2090,Unfurnished,No,No,Yes,Yes,Covered,Yes,Yes,23947220,11458
PROP-9010,2,2,1159,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,14758706,12734
PROP-9011,3,3,1831,Unfurnished,No,Yes,No,No,Open,Yes,Yes,17004497,9287
PROP-9012,3,3,2032,Unfurnished,No,Yes,No,No,Open,Yes,No,12236704,6022
PROP-9013,3,3,2524,Semi-Furnished,No,No,Yes,Yes,Open,Yes,Yes,24447464,9686
PROP-9014,2,3,998,Unfurnished,No,No,No,No,Covered,No,Yes,7339292,7354
PROP-9015,1,2,758,Unfurnished,No,Yes,No,No,Open,Yes,Yes,7450382,9829
PROP-9016,2,2,1241,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,10877365,8765
PROP-9017,2,2,1098,Unfurnished,No,Yes,No,No,Open,Yes,Yes,9123282,8309
PROP-9018,1,2,754,Unfurnished,No,No,Yes,Yes,,Yes,Yes,6821438,9047
PROP-9019,4,5,4630,Unfurnished,Yes,No,Yes,Yes,Covered,Yes,Yes,58486160,12632
PROP-9020,2,2,1083,Semi-Furnished,No,Yes,No,Yes,Covered,Yes,Yes,10736862,9914
PROP-9021,2,3,1049,Semi-Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,9841718,9382
PROP-9022,3,3,1667,Unfurnished,No,Yes,Yes,Yes,Covered,Yes,Yes,19825631,11893
PROP-9023,1,1,613,Semi-Furnished,No,Yes,No,Yes,Open,Yes,Yes,5001467,8159
PROP-9024,4,4,4294,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,52528502,12233
